RSS1__CON2,RSS1__SUB,RSS1__SUB+R,X35S__CON2,X35S__SUB,X35S__SUB+R,polyA__CON2,polyA__SUB,polyA__SUB+R
OS01G0125700,4.799078617,7.710541792,5.974904068,7.04026781,7.356287896,5.288392115,5.59925063,6.878322924,4.793582499
OS01G0125800,38.80797326,25.08580833,35.07178762,15.86206438,14.9715375,21.85966464,22.63900561,12.20681814,16.50547256
OS01G0125850,38.29830489,25.53812555,33.38412902,16.85223934,15.39833415,22.01688629,23.22127976,12.25230234,15.93322832
OS01G0125900,21.73254291,28.13758732,25.56257626,22.10074974,20.13571172,21.11037086,16.19541631,14.50909865,16.61130114
OS01G0126000,6.292388268,1.709988771,2.229750741,5.437117179,2.462128747,2.455651323,2.140860005,0.727810948,0.303246753
OS01G0126100,15.03917164,1.086433942,4.33149016,12.73422959,4.09901003,4.78181044,7.069752585,1.093629359,1.942841527
OS01G0126200,1.785032644,0.321693072,0.490841586,2.500698302,0.616663215,0.756248371,0.331071907,0.188220692,0.211187068
OS01G0126401,0.242366415,0.104666448,0.073701173,0.860175895,0.155202748,0.282845644,0.107806078,0.06061614,0.079760069
OS01G0126600,0.493491828,0.255778632,0.121235692,1.875126388,0.401931415,0.470872257,0.158311466,0.139877688,0.120383531
OS01G0126900,61.56335191,3.348355187,8.377067988,16.53419382,0.501084554,3.308205881,42.62848116,0.600471585,3.262967778
OS01G0127000,29.29241341,5.479795771,9.506697082,4.184905514,7.941017421,5.914430635,17.96651309,8.022453202,6.104991418
OS01G0127100,26.08542151,5.624843959,8.680422749,3.904408941,7.542722236,5.430970102,15.79371842,7.633859916,5.311063775
OS01G0127200,34.86933658,2.867938458,5.481385296,11.79588322,0.740592349,2.056270588,25.15408501,2.100902395,1.414184172
OS01G0127300,8.702401506,14.12817556,11.93258352,11.98941578,19.70764223,18.31822053,8.03311637,10.10598461,9.44273128
OS01G0127400,0.369586556,3.09513696,0.940775741,1.529914298,2.960201904,1.274802541,0.640178332,1.53779248,0.490684887
OS01G0127600,602.4542471,25.41249715,367.3872404,5.838282651,5.483550464,18.24152801,501.0748078,13.46216207,328.8528356
OS01G0127700,16.09761189,32.17506212,18.71272556,13.99900561,27.77078094,16.06223233,11.63931972,34.36335834,15.00772406
OS01G0127900,7.593424456,6.643198804,3.392250365,2.36601954,4.745714174,2.821271304,5.722540005,5.170585573,3.29209068
OS01G0128000,1.545973975,1.220976496,1.40962475,4.984380535,3.420426646,5.013302415,0.589041151,2.033033654,0.670727418
OS01G0128100,2.630226985,0.699354988,0.27567209,1.40568167,0.604696876,0.791215166,0.805264457,0.235241462,0.243487744
OS01G0128200,10.46854138,2.585723679,2.451392212,7.040373029,2.56235874,3.090901027,5.86025062,1.27167754,1.507576311
OS01G0128250,3.773667065,1.303791436,0.943999212,3.221636221,1.235428773,1.152834467,2.706600626,0.55278498,0.608205484
OS01G0128300,25.9184513,10.96130442,17.10758355,6.839840219,4.309247263,8.460631081,14.51601649,12.33454444,13.81259123
OS01G0128400,90.65185825,54.40040562,109.300751,54.94585167,50.62130971,67.98347523,66.16888126,31.23399579,56.75823606
OS01G0128700,4.30062855,15.30510594,4.745468439,6.761130701,9.371667656,4.066094619,1.870950752,4.016717749,2.271235997
OS01G0128800,12.51533045,20.52556001,12.84087186,19.55620671,20.77872112,14.39467089,13.09443332,16.1899681,9.890587305
OS01G0129500,4.081636113,7.74357574,7.20198736,4.079188021,24.65414475,4.63925995,3.96182484,15.91749414,3.915812249
OS01G0129550,3.20175876,7.773309591,5.667764816,4.159108751,27.3600719,4.525609068,3.169112928,15.63658516,4.077541534
OS01G0129600,35.66637649,49.7480146,22.81029313,28.98121015,49.22256358,21.88751639,17.08185879,34.07628089,7.605338666
OS01G0130000,33.92797441,94.24896823,57.25085169,40.5748939,90.52101137,52.93941512,33.66627086,75.66717188,50.65452238
OS01G0130100,48.26155571,105.6055663,69.24963552,48.52765981,99.28007409,67.17625234,38.37937898,90.09947279,67.69638191
OS01G0130200,13.68743859,16.59847653,19.50290839,19.9380422,4.783464347,14.26521752,12.84476624,7.160557303,15.05427595
OS01G0130400,15.85721395,4.035379168,25.10995885,2.55079311,1.478342683,4.767869913,5.020006561,1.130207347,3.691235235
OS01G0130500,19.59324638,4.767607872,30.31278579,3.087979735,1.797470841,6.13026371,6.653920659,1.427569268,4.570659109
OS01G0130900,7.033177107,10.24499553,4.844429727,5.56881574,14.25690774,6.820542594,4.991254113,7.259795842,4.21947649
OS01G0131300,74.32004744,108.7075909,117.6961884,99.97269611,119.2431267,104.1869127,67.40860877,116.8309276,93.89438762
OS01G0131450,70.76670211,186.3747124,155.4864569,119.9872576,156.6965849,126.4405814,103.9587789,209.26339,159.855187
OS01G0131600,65.62849755,170.0253243,139.6120172,107.5831077,142.9989589,114.9822936,93.84841397,193.650749,141.3528998
OS01G0131800,22.79139293,19.22092678,29.18079073,25.18442536,19.91173224,32.08591349,29.96121241,20.84342116,41.65849426
OS01G0131900,3.453001572,3.472376765,0.861995666,1.582108097,1.706469695,3.615842495,0.869924316,0.496370635,0.706412867
OS01G0132000,147.984797,33.13830496,61.31650657,170.1493726,25.81729214,98.25944104,140.4082123,32.29343294,81.56151578
OS01G0132500,5.390109465,6.398598884,3.853011476,5.286805493,12.925658,6.595399256,3.939365991,8.818752668,3.830312053
OS01G0132700,8.396100181,16.22834766,6.765638255,8.392513922,8.636846056,9.80302854,11.00212742,14.03276325,11.21358778
OS01G0132766,27.52325008,34.37063309,65.66884095,29.88287662,14.32098433,24.34854785,15.88619834,21.77345986,16.39657387
OS01G0132800,4.641520027,12.98504907,5.992310885,8.298568768,9.578383121,6.693558629,4.096020888,8.052104652,4.976696453
OS01G0133100,7.747595244,6.487334548,5.424352998,3.379987023,1.512162692,1.675390093,4.082638971,1.895434704,2.967803957
OS01G0133200,8.652218372,2.566087642,8.547431261,1.053207135,0.537475756,0.520129813,16.91549656,0.740990975,5.516767413
OS01G0133400,67.11504195,62.04271865,40.33101149,31.41691828,48.74334745,31.58337362,32.91890088,36.32816758,23.39928502
OS01G0133500,14.49998979,7.854743383,12.17632242,10.93151274,7.804751123,12.45519593,10.95819138,7.307771086,9.178570478
OS01G0133600,1.126838702,0.305635408,0.577818068,0.177146991,0.241810997,0.136134666,0.344736227,0.13898156,0.177052114
OS01G0133650,1.319622636,0.631552178,0.59966769,0.321486437,0.499668093,0.281302959,0.521994854,0.234239485,0.271693826
OS01G0133700,0.538282413,0.6144832,2.59292476,0.673494667,0.266118941,0.268316484,1.011822098,0.194093085,0.321638978
OS01G0133799,0.84689044,0.608996743,3.529562675,0.667481321,0.263742879,0.265920801,0.924049368,0.192360111,0.318767202
OS01G0133832,7.316858061,1.063027554,10.80706439,0.946005913,1.427717036,1.033331058,1.817826949,0.631138228,1.813386899
OS01G0133866,13.16151757,2.248783082,15.56534615,1.432175467,0.302449172,2.0723145,4.865073372,2.044133272,5.861163378
