CMZ__PLATE,QHB__PLATE,RSS1__PLATE,SCR__PLATE,SHR__PLATE,X35S__PLATE,polyA__PLATE
OS01G0128400,101.8035754,145.9094943,134.5473481,101.2517525,136.0755483,91.36680987,87.57812207
OS01G0128700,3.219787297,2.84044019,4.652238076,5.186193808,3.803585593,7.951452938,1.922165276
OS01G0128800,21.3337702,12.54093087,16.96411202,28.02346262,23.54521843,23.73235191,14.47085617
OS01G0129500,11.21260586,2.809805603,4.678478879,6.332773494,8.597474694,2.241452341,3.595028397
OS01G0129550,12.55884785,2.487088377,5.366697005,5.660009956,8.479719041,2.419026055,3.45137943
OS01G0129600,1.689617196,2.820621673,2.093971227,6.113758417,0.864915662,0.601449263,0.723909467
OS01G0130000,61.27733117,37.47061126,108.430074,71.36962397,59.35846196,124.3290064,68.77235409
OS01G0130100,71.39836314,31.99089669,128.4616561,85.6590988,67.68012855,113.3469969,68.23673633
OS01G0130200,4.941735376,16.4214844,11.34574521,3.623870487,6.709511949,19.70488429,5.543321099
OS01G0130400,12.72354844,3.079645605,31.69404168,12.47656601,12.4962568,15.99174592,12.61727169
OS01G0130500,14.2763433,3.084579916,37.34239928,14.82628004,18.93288404,19.41910719,14.37095263
OS01G0130900,1.796580964,9.900292195,3.097511605,2.155478585,6.982697956,2.112507727,1.472711311
OS01G0131300,19.22156957,24.89355131,71.19056716,18.72905463,28.81874441,105.270924,43.81371461
OS01G0131450,279.3630101,88.9734426,60.87437026,312.444995,287.1023189,51.66264767,85.26075333
OS01G0131600,243.401468,79.94425168,54.21383596,288.3142441,250.113348,46.61058957,75.18511901
OS01G0131800,22.41031702,19.35638305,21.72513349,15.78760629,13.13355966,19.80551848,28.2800522
OS01G0131900,9.482926393,4.128390441,10.5402675,5.712722655,14.58806069,24.43095241,31.06231566
OS01G0132000,227.0777521,84.14191395,523.1071748,169.0473013,126.7376255,708.6801926,677.8852791
OS01G0132500,2.055730991,3.059681951,3.888746028,7.278321101,1.476595667,1.505046418,1.32424274
OS01G0132700,8.852621064,8.311242285,7.349376582,6.696552291,1.659743471,4.977112719,11.02512062
OS01G0132766,25.54262404,49.26071207,51.6167453,30.70811918,26.73066007,45.85444332,28.56797374
OS01G0132800,12.98560087,4.417640659,5.500267777,8.717971633,15.7704987,12.23978654,4.676617302
OS01G0133100,5.405557831,15.20485714,5.490861136,6.731184895,5.016727264,2.149620504,3.619208342
OS01G0133200,14.79194193,9.515933657,6.13528694,7.44575516,10.51743047,2.911044098,9.68173259
OS01G0133400,59.68112307,79.28836711,119.7929767,46.23884964,46.09691695,109.5569587,86.10749832
OS01G0133500,17.55946399,17.45235121,17.39711106,17.73230037,18.2290981,14.22314709,14.91136324
OS01G0133600,0.490115116,0.176278057,0.245941992,0.418212115,1.391416858,0.151473636,0.157130039
OS01G0133650,0.585406207,0.364253577,0.508204208,0.578158907,1.762736064,0.251369859,0.271927392
OS01G0133700,0.985381593,0.354408886,0.707419349,1.216677242,1.324645609,0.495471255,0.313513554
OS01G0133799,0.976583543,0.351244521,0.595420696,1.205814053,1.312818416,0.491047405,0.310714326
OS01G0133832,2.63345854,8.454344628,9.32571617,4.546025655,5.278363694,1.461463866,1.410152585
OS01G0133866,3.562180918,8.574896165,10.09536341,3.907146131,11.59882966,0.939009142,1.706559448
OS01G0133900,4.181123506,8.529855587,9.652370063,4.767624456,10.68697198,1.241904954,1.75082853
OS01G0134200,0.951395052,0.618358467,0.68272429,1.893101178,0.617266865,0.588921018,0.707850683
OS01G0134500,14.40241351,55.36374821,32.66659275,10.39740064,18.69752742,8.939504409,29.67767372
OS01G0134700,51.501246,16.75304029,31.87851447,71.06561848,43.84711582,32.18482484,17.9978291
OS01G0134800,0.432113881,55.82697107,0.740034257,0.592653544,0.376118678,0.487874852,0.517224111
OS01G0134850,0.374428133,54.91072582,0.9156351,0.513536292,0.325908101,0.444273052,0.50179244
OS01G0134900,32.14298593,315.9520612,37.17395348,33.65030947,30.17306765,18.09242815,27.65031415
OS01G0135000,8.038900765,86.96511475,7.389869153,4.845650283,4.373899786,4.398290024,4.539115141
